task,n_steps,rand_pos_mean,rand_pos_std,rand_neg_mean,rand_neg_std
arith+1,30,0.4254,0.0793,-0.4247,0.0754
letters,35,0.3896,0.0675,-0.3970,0.0690
even,34,0.4004,0.0698,-0.4019,0.0661
number_words,28,0.4366,0.0770,-0.4366,0.0789
rep_lc,35,0.3971,0.0677,-0.3971,0.0788
rep_ct,37,0.3867,0.0602,-0.3814,0.0703
rep_lg,30,0.4318,0.0740,-0.4325,0.0824
fl_sst2,28,0.4542,0.0828,-0.4413,0.0778
fl_imdb,26,0.4661,0.0810,-0.4629,0.0773
fl_rt,29,0.4267,0.0672,-0.4312,0.0733
fl_ps,32,0.3968,0.0653,-0.4157,0.0794
fl_yhc,52,0.3218,0.0548,-0.3250,0.0606
fl_ybs,60,0.2969,0.0585,-0.3038,0.0575
fl_emaj,45,0.3454,0.0599,-0.3510,0.0606
